2026-01-28 15:56:42 [INFO] ============================================================
2026-01-28 15:56:42 [INFO] 실시간 낙상 감지 시스템 초기화 시작
2026-01-28 15:56:42 [INFO] ============================================================
2026-01-28 15:56:42 [INFO] 🤖 모델 로딩 중...
2026-01-28 15:56:43 [INFO] ✅ Random Forest 모델 로드 성공: /home/gjkong/dev_ws/yolo/myproj/models/3class/random_forest_model.pkl
2026-01-28 15:56:43 [INFO] ✅ YOLO Pose 모델 로드 성공
2026-01-28 15:56:43 [INFO] 모델 타입: 3class
2026-01-28 15:56:43 [INFO] 클래스: {0: 'Normal', 1: 'Falling', 2: 'Fallen'}
2026-01-28 15:56:43 [INFO] 버퍼 크기: 30 frames
2026-01-28 15:56:43 [INFO] ✅ Feature 순서 로드: 181개
2026-01-28 15:56:43 [INFO] ✅ 초기화 완료!
2026-01-28 15:56:43 [INFO] ============================================================
2026-01-28 15:56:43 [INFO] ============================================================
2026-01-28 15:56:43 [INFO] 🎥 실시간 낙상 감지 시작
2026-01-28 15:56:43 [INFO] 카메라 ID: 0
2026-01-28 15:56:43 [INFO] 비디오 저장: False
2026-01-28 15:56:43 [INFO] ============================================================
2026-01-28 15:56:43 [INFO] 해상도: 640x480
2026-01-28 15:56:44 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
2026-01-28 15:56:45 [WARNING] ⚠️  핵심 Feature 없음 (hip=0, spine=0) - 예측 건너뛰기
