frame_id,timestamp_ms,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf,acc_x,acc_y,acc_z,acc_mag
0,0.0,497.03625,94.52039,0.9358175,499.4632,92.31372,0.92327774,495.45547,92.37498,0.8314213,504.08582,93.50306,0.83197916,493.7329,93.74939,0.48161167,509.32004,106.49738,0.9932561,491.51553,106.86716,0.98979247,513.2631,123.55493,0.96348244,489.23517,123.35605,0.89606375,511.75824,140.04108,0.9270856,487.8368,137.67291,0.8372663,506.27844,138.86514,0.99290633,494.8016,138.85707,0.9911601,507.35788,163.24248,0.9806507,493.75638,163.08311,0.9717693,509.54553,186.89021,0.9572294,496.13095,186.28636,0.94328403,1.0239081,-0.24368028,0.99191629,0.07148282
1,33.333333333333336,496.37802,94.541595,0.9324567,498.8104,92.35628,0.922271,494.9166,92.39877,0.8171511,503.5864,93.52743,0.83814126,493.4412,93.73672,0.45318526,509.0313,106.47343,0.9931821,491.2331,106.837616,0.98868525,513.0713,123.40808,0.9644127,488.83588,123.339035,0.8841577,511.52023,139.60248,0.92808676,487.57544,137.65279,0.823637,506.00677,138.95879,0.99283713,494.5641,138.93753,0.9906094,507.2662,163.32002,0.9808349,493.81546,163.15327,0.9705803,509.53806,186.98138,0.9577533,496.38837,186.30867,0.9418511,1.00243341,-0.26284062,0.96489529,0.06902637
2,66.66666666666667,495.80655,94.664055,0.93050265,498.18393,92.49613,0.9206438,494.3887,92.541145,0.810622,502.9089,93.53582,0.83838946,492.97903,93.74549,0.4440005,508.55365,106.23537,0.9932215,490.67242,106.65194,0.98833966,512.9192,122.99562,0.9653638,488.22253,123.11041,0.8815515,511.54306,139.13571,0.9294608,487.14597,137.42506,0.82090014,505.70114,138.71037,0.99298793,494.2378,138.73196,0.9906282,507.21582,163.18259,0.9812344,493.84766,163.06349,0.97067845,509.521,186.96259,0.9581578,496.59265,186.32838,0.9416574,1.04955503,-0.28863339,1.00739195,0.05846361
3,100.0,495.85315,94.63814,0.9323413,498.18912,92.473465,0.9191567,494.3241,92.534164,0.8221148,502.696,93.56176,0.8286414,492.6671,93.79957,0.47105443,508.18832,106.22184,0.9932528,490.2777,106.75195,0.98935014,512.74963,122.75638,0.9642251,487.78485,123.21854,0.89282197,511.5057,138.52863,0.92815435,486.70636,137.49313,0.83378375,505.63583,138.55363,0.9932681,494.12552,138.66618,0.9914152,507.35858,163.11009,0.98195285,493.80054,163.07318,0.9731312,509.75162,187.05115,0.9597846,496.4545,186.55597,0.94581944,1.11739888,-0.25891029,1.08575284,0.05183119
4,133.33333333333334,495.2966,94.72061,0.93163943,497.6002,92.56197,0.91921127,493.82043,92.64104,0.8176841,502.17337,93.584274,0.831605,492.3196,93.88231,0.46185696,507.88315,106.119644,0.9933831,490.02502,106.76072,0.98931515,512.64026,122.51056,0.96564454,487.54547,123.259,0.8931777,511.46402,138.2182,0.93060255,486.49933,137.6822,0.8349179,505.45856,138.50287,0.9934676,493.98486,138.64731,0.9915741,507.3036,163.11299,0.9823658,493.6589,163.10233,0.9734259,509.73975,187.14041,0.96027535,496.3017,186.66266,0.9460185,1.12440572,-0.24392592,1.09656124,0.04839215
5,166.66666666666666,495.5556,95.0643,0.9360443,497.81573,92.91368,0.9195921,493.97806,92.98636,0.8367995,502.14563,93.82595,0.820825,492.1811,94.078094,0.50294834,507.66074,106.09759,0.99364156,489.53156,106.732605,0.9909576,512.5625,122.242325,0.9655716,486.63272,123.16118,0.911422,511.6545,137.66158,0.9314616,485.82886,137.7737,0.85707396,505.3541,138.4267,0.9938922,493.6911,138.61368,0.9926472,507.52963,163.22697,0.98276734,493.57187,163.24744,0.9757971,509.73312,187.4216,0.96028566,496.01166,187.03154,0.9487331,1.03169181,-0.26578837,0.99609226,0.03930327
6,200.0,495.47708,95.405754,0.93976486,497.7195,93.24882,0.9217354,493.85056,93.32361,0.8495386,501.98782,93.9827,0.81686115,491.94965,94.23137,0.527847,507.46042,105.95688,0.99386615,489.20084,106.62387,0.9919882,512.5139,121.89151,0.9661925,486.05063,122.99275,0.9231883,511.9835,137.25858,0.9332947,485.05344,137.90208,0.8724091,505.2342,138.2847,0.9941222,493.51105,138.49654,0.9932516,507.50488,163.2175,0.9826483,493.50824,163.2517,0.9767535,509.5303,187.4501,0.9590011,495.78757,187.09958,0.94889194,0.95121486,-0.29158114,0.90176441,0.08130864
7,233.33333333333334,495.4185,95.30381,0.9424498,497.68448,93.13152,0.9231948,493.72266,93.20147,0.858629,501.90598,93.87936,0.813478,491.69397,94.109665,0.5470878,507.2694,105.88189,0.9940029,488.9055,106.5664,0.99261236,512.39655,121.820404,0.9661815,485.8031,123.049805,0.9296132,512.2605,137.50719,0.9336285,484.68372,138.43991,0.8806416,505.12643,138.21948,0.9942239,493.36526,138.45651,0.9935818,507.3948,163.1586,0.9825565,493.5532,163.20549,0.97739947,509.30344,187.36955,0.9584137,495.87097,187.05112,0.94941926,1.05574526,-0.36846816,0.93394396,0.32646279
8,266.6666666666667,495.30716,95.33415,0.94517314,497.58704,93.13041,0.925169,493.51276,93.2272,0.8676496,501.77835,93.90822,0.8111286,491.34045,94.206665,0.5664089,507.07602,105.9578,0.9940843,488.61423,106.79509,0.9930875,512.3259,121.81105,0.96584564,485.6406,123.384674,0.9344168,512.4889,137.66104,0.93337244,484.40457,138.98624,0.88684714,505.1517,138.2113,0.9941379,493.34708,138.53316,0.99367946,507.2391,163.02377,0.98178285,493.53445,163.15038,0.977112,508.9487,186.90884,0.9562093,495.78818,186.7163,0.947957,0.83921891,0.15770437,0.82364916,0.03193391
9,300.0,494.98468,95.269295,0.9456475,497.27597,93.04463,0.92623854,493.1816,93.15378,0.8678178,501.5149,93.75325,0.8138068,491.04752,94.086945,0.56444615,506.9197,105.769775,0.9941379,488.37808,106.63744,0.9931166,512.23004,121.76074,0.96620554,485.44415,123.32428,0.9345591,512.58954,138.01349,0.9338116,484.01987,139.18085,0.8869744,504.93698,137.94632,0.9941409,493.14932,138.27005,0.9936733,506.7442,162.86511,0.98179275,493.44257,162.9942,0.9770692,508.20856,186.87654,0.9560226,495.81284,186.68634,0.9476463,0.8547389,0.15745873,0.8401074,-0.00221081
